metric,projector,family,subset,precision/mean,recall/mean,f1/mean,precision/std,recall/std,f1/std
test_pretraining/micro,no_init_box_kenn_horizontal_adapter_bert_ms,WORK_OF_ART,10,0.8001376589139303,0.8145861824353536,0.8072936137517294,0.0009694483241457362,0.003452139888074404,0.001350559560491574
test_incremental/macro_types,no_init_box_kenn_horizontal_adapter_bert_ms,WORK_OF_ART,10,0.8641635378201803,0.3714783589045207,0.5175523161888123,0.05648199451143007,0.03785690688345603,0.02630265178173898
test_incremental/macro_example,no_init_box_kenn_horizontal_adapter_bert_ms,WORK_OF_ART,10,0.07414389153321584,0.05026704321304957,0.05989240979154905,0.0002720801672079629,0.002371925104000325,0.0016695164171410966
test/macro_example,no_init_box_kenn_hybrid_adapter_bert_ms,WORK_OF_ART,10,0.8273641069730123,0.835061252117157,0.831194003423055,0.000157088042247892,0.0019302792380514761,0.0008957351477444718
test_incremental/macro_example_exclusive,no_init_box_kenn_hybrid_adapter_bert_ms,WORK_OF_ART,10,0.7166666984558105,0.4833333194255829,0.5769987106323242,0.0026243169026613747,0.026633930565386762,0.017928370213406642
test_pretraining/macro_example,no_init_box_kenn_hybrid_adapter_bert_ms,WORK_OF_ART,10,0.8273641069730123,0.835061252117157,0.831194003423055,0.000157088042247892,0.0019302792380514761,0.0008957351477444718
test_incremental_only/macro_example_exclusive,no_init_box_kenn_hybrid_adapter_bert_ms,WORK_OF_ART,10,0.20711974302927652,0.20711974302927652,0.20711974302927652,0.05688800816037115,0.05688800816037115,0.05688800816037115
test_pretraining/macro_types,no_init_box_kenn_hybrid_adapter_bert_ms,WORK_OF_ART,10,0.8458038171132406,0.7982475956281027,0.8212754329045614,0.010335252347365556,0.007362232126437802,0.0012910815098798954
test_incremental_only/micro,no_init_box_kenn_hybrid_adapter_bert_ms,WORK_OF_ART,10,0.9494949579238892,0.2071197380622228,0.3355244795481364,0.08747729891422791,0.0568880111273113,0.06750869926688462
test_incremental_only/macro_types,no_init_box_kenn_hybrid_adapter_bert_ms,WORK_OF_ART,10,0.9462962945302328,0.19425064822038016,0.3164113958676656,0.09301754642835151,0.06625988032329255,0.08122565173950946
test_incremental/micro,no_init_box_kenn_hybrid_adapter_bert_ms,WORK_OF_ART,10,0.8229002555211385,0.471048504114151,0.5986738204956055,0.010746871884508609,0.02750922734147409,0.01920290911575143
test_incremental_only/macro_example,no_init_box_kenn_hybrid_adapter_bert_ms,WORK_OF_ART,10,0.02010681728521983,0.02010681728521983,0.020106816664338112,0.0055225883068324615,0.0055225883068324615,0.00552258724721068
test_incremental_WORK_OF_ART-BOOK/macro_types,no_init_box_kenn_hybrid_adapter_bert_ms,WORK_OF_ART,10,0.9111111164093018,0.11627907181779544,0.1850665546953678,0.15396006260716483,0.12305820146423199,0.17350330322195442
test/macro_types,no_init_box_kenn_hybrid_adapter_bert_ms,WORK_OF_ART,10,0.8458038171132406,0.7982475956281027,0.8212754329045614,0.010335252347365556,0.007362232126437802,0.0012910815098798954
test_incremental_WORK_OF_ART-SONG/macro_types,no_init_box_kenn_hybrid_adapter_bert_ms,WORK_OF_ART,10,0.9814814726511637,0.27222223083178204,0.4260009229183197,0.03207503024953817,0.009622495309758367,0.008570634957716051
test_incremental_WORK_OF_ART/macro_types,no_init_box_kenn_hybrid_adapter_bert_ms,WORK_OF_ART,10,0.7979797720909119,0.7181817889213562,0.7559808492660522,0.0,0.0,0.0
test/micro,no_init_box_kenn_hybrid_adapter_bert_ms,WORK_OF_ART,10,0.8006323178609213,0.8143575588862101,0.807431956132253,0.0007911527551498751,0.0040188352431885285,0.0015986187214855367
test_pretraining/micro,no_init_box_kenn_hybrid_adapter_bert_ms,WORK_OF_ART,10,0.8006323178609213,0.8143575588862101,0.807431956132253,0.0007911527551498751,0.0040188352431885285,0.0015986187214855367
test_incremental/macro_types,no_init_box_kenn_hybrid_adapter_bert_ms,WORK_OF_ART,10,0.896857500076294,0.36889437834421795,0.5201926529407501,0.06201172056073955,0.04417325724375351,0.03201327175198654
test_incremental/macro_example,no_init_box_kenn_hybrid_adapter_bert_ms,WORK_OF_ART,10,0.07430097709099452,0.050109958897034325,0.05982079356908798,0.0002720801672079659,0.002761294524283947,0.0018587395135655476
test/macro_example,no_init_box_kenn_top_down_adapter_bert_ms,WORK_OF_ART,10,0.8251911004384359,0.8393025398254395,0.8321811159451803,0.0032434196679567125,0.0022159699474344624,0.0006778931301918369
test_incremental/macro_example_exclusive,no_init_box_kenn_top_down_adapter_bert_ms,WORK_OF_ART,10,0.7212121287981669,0.5378787716229757,0.6161056160926819,0.021480982756517324,0.02503441836711898,0.02311023402700214
test_pretraining/macro_example,no_init_box_kenn_top_down_adapter_bert_ms,WORK_OF_ART,10,0.8251911004384359,0.8393025398254395,0.8321811159451803,0.0032434196679567125,0.0022159699474344624,0.0006778931301918369
test_incremental_only/macro_example_exclusive,no_init_box_kenn_top_down_adapter_bert_ms,WORK_OF_ART,10,0.323624591032664,0.323624591032664,0.3236246009667714,0.05347155819491655,0.05347155819491655,0.05347157352652505
test_pretraining/macro_types,no_init_box_kenn_top_down_adapter_bert_ms,WORK_OF_ART,10,0.8257229526837667,0.8126533031463623,0.8190465370814005,0.015308406167101616,0.006007966410930047,0.004903006882941478
test_incremental_only/micro,no_init_box_kenn_top_down_adapter_bert_ms,WORK_OF_ART,10,0.7550724546114603,0.323624591032664,0.44328053792317706,0.16630909032169452,0.05347155819491655,0.024978458051910093
test_incremental_only/macro_types,no_init_box_kenn_top_down_adapter_bert_ms,WORK_OF_ART,10,0.7655682961146036,0.32390180230140686,0.4475134611129761,0.13777562361565396,0.054071624690236554,0.031575161763002214
test_incremental/micro,no_init_box_kenn_top_down_adapter_bert_ms,WORK_OF_ART,10,0.7749767502148946,0.5273865262667338,0.6259597539901733,0.06311160304982512,0.025857139515663367,0.009108412374710061
test_incremental_only/macro_example,no_init_box_kenn_top_down_adapter_bert_ms,WORK_OF_ART,10,0.031416901076833405,0.031416901076833405,0.031416901076833405,0.005190924252436773,0.005190924252436773,0.005190924252436773
test_incremental_WORK_OF_ART-BOOK/macro_types,no_init_box_kenn_top_down_adapter_bert_ms,WORK_OF_ART,10,0.7674869100252787,0.3255813916524251,0.45404786864916485,0.03487717617238596,0.061529095804020495,0.059112261104209765
test/macro_types,no_init_box_kenn_top_down_adapter_bert_ms,WORK_OF_ART,10,0.8257229526837667,0.8126533031463623,0.8190465370814005,0.015308406167101616,0.006007966410930047,0.004903006882941478
test_incremental_WORK_OF_ART-SONG/macro_types,no_init_box_kenn_top_down_adapter_bert_ms,WORK_OF_ART,10,0.7636496623357137,0.32222222288449603,0.4367494781812032,0.2415177086113128,0.05357583127734695,0.007306306607834569
test_incremental_WORK_OF_ART/macro_types,no_init_box_kenn_top_down_adapter_bert_ms,WORK_OF_ART,10,0.7979797720909119,0.7181817889213562,0.7559808492660522,0.0,0.0,0.0
test/micro,no_init_box_kenn_top_down_adapter_bert_ms,WORK_OF_ART,10,0.7958994110425314,0.8225880066553751,0.8090013861656189,0.006773416917086507,0.003777480977035845,0.0019728746727247187
test_pretraining/micro,no_init_box_kenn_top_down_adapter_bert_ms,WORK_OF_ART,10,0.7958994110425314,0.8225880066553751,0.8090013861656189,0.006773416917086507,0.003777480977035845,0.0019728746727247187
test_incremental/macro_types,no_init_box_kenn_top_down_adapter_bert_ms,WORK_OF_ART,10,0.7763721148173014,0.45532848437627155,0.5705631971359253,0.09185044258373423,0.03604775468916501,0.012646890366800077
test_incremental/macro_example,no_init_box_kenn_top_down_adapter_bert_ms,WORK_OF_ART,10,0.07477222879727681,0.055764999240636826,0.06387522692481677,0.0022270566478859144,0.0025954625771480427,0.002395966773240739
test/macro_example,no_init_kenn_bottom_up_adapter_bert_ms,WORK_OF_ART,10,0.8106922308603922,0.8495653867721558,0.8296701113382975,0.0015202506795391946,0.003039214621577828,0.0010192236535439595
test_incremental/macro_example_exclusive,no_init_kenn_bottom_up_adapter_bert_ms,WORK_OF_ART,10,0.6737373272577921,0.6045454343159994,0.6365861495335897,0.009622495309758367,0.039626384612769246,0.018323762248990398
test_pretraining/macro_example,no_init_kenn_bottom_up_adapter_bert_ms,WORK_OF_ART,10,0.8106922308603922,0.8495653867721558,0.8296701113382975,0.0015202506795391946,0.003039214621577828,0.0010192236535439595
test_incremental_only/macro_example_exclusive,no_init_kenn_bottom_up_adapter_bert_ms,WORK_OF_ART,10,0.4660194218158722,0.4660194218158722,0.4660194118817647,0.08463881778986419,0.08463881778986419,0.08463883488266852
test_pretraining/macro_types,no_init_kenn_bottom_up_adapter_bert_ms,WORK_OF_ART,10,0.7995026707649231,0.8395756085713705,0.8190358281135559,0.00346690855646556,0.011300949879810245,0.00703278011189641
test_incremental_only/micro,no_init_kenn_bottom_up_adapter_bert_ms,WORK_OF_ART,10,0.635537326335907,0.4660194218158722,0.5332442124684652,0.031008481938124083,0.08463881778986419,0.051872419300593504
test_incremental_only/macro_types,no_init_kenn_bottom_up_adapter_bert_ms,WORK_OF_ART,10,0.6940643986066183,0.49773903687795,0.576942652463913,0.03120217073827704,0.10170824458111702,0.08121143989495747
test_incremental/micro,no_init_kenn_bottom_up_adapter_bert_ms,WORK_OF_ART,10,0.7311903834342957,0.5962441364924113,0.6558454434076945,0.021779263331604327,0.04092862382717367,0.018272814872060575
test_incremental_only/macro_example,no_init_kenn_bottom_up_adapter_bert_ms,WORK_OF_ART,10,0.04524033764998118,0.04524033764998118,0.04524033640821775,0.00821658445590999,0.00821658445590999,0.008216583173950066
test_incremental_WORK_OF_ART-BOOK/macro_types,no_init_kenn_bottom_up_adapter_bert_ms,WORK_OF_ART,10,0.5779436230659485,0.6899224817752838,0.6097768545150757,0.08385459648510774,0.21101794099010032,0.07341020686488159
test/macro_types,no_init_kenn_bottom_up_adapter_bert_ms,WORK_OF_ART,10,0.7995026707649231,0.8395756085713705,0.8190358281135559,0.00346690855646556,0.011300949879810245,0.00703278011189641
test_incremental_WORK_OF_ART-SONG/macro_types,no_init_kenn_bottom_up_adapter_bert_ms,WORK_OF_ART,10,0.8101851940155029,0.3055555621782939,0.4413498441378276,0.12448452452707565,0.04194351424553623,0.05082329830738646
test_incremental_WORK_OF_ART/macro_types,no_init_kenn_bottom_up_adapter_bert_ms,WORK_OF_ART,10,0.8061224222183228,0.7181817889213562,0.7596153616905212,0.0,0.0,0.0
test/micro,no_init_kenn_bottom_up_adapter_bert_ms,WORK_OF_ART,10,0.7809106508890787,0.840877890586853,0.8097707231839498,0.00282487479916915,0.0059792816809800305,0.0015426924115252074
test_pretraining/micro,no_init_kenn_bottom_up_adapter_bert_ms,WORK_OF_ART,10,0.7809106508890787,0.840877890586853,0.8097707231839498,0.00282487479916915,0.0059792816809800305,0.0015426924115252074
test_incremental/macro_types,no_init_kenn_bottom_up_adapter_bert_ms,WORK_OF_ART,10,0.7314170797665914,0.5712199707825979,0.6404821077982584,0.020801445068889535,0.06780550201241817,0.05074982354624022
test_incremental/macro_example,no_init_kenn_bottom_up_adapter_bert_ms,WORK_OF_ART,10,0.06985024611155193,0.06267671783765157,0.06599856913089752,0.0009976215443029176,0.004108292227954995,0.001899726020922674
test/macro_example,no_init_kenn_horizontal_adapter_bert_ms,WORK_OF_ART,10,0.809535026550293,0.8501413464546204,0.8293352723121643,0.003623198486345138,0.00245374404226051,0.0014851506913908753
test_incremental/macro_example_exclusive,no_init_kenn_horizontal_adapter_bert_ms,WORK_OF_ART,10,0.6813130974769592,0.610606054464976,0.643306314945221,0.018944459868614698,0.033505068993550526,0.011467573248429017
test_pretraining/macro_example,no_init_kenn_horizontal_adapter_bert_ms,WORK_OF_ART,10,0.809535026550293,0.8501413464546204,0.8293352723121643,0.003623198486345138,0.00245374404226051,0.0014851506913908753
test_incremental_only/macro_example_exclusive,no_init_kenn_horizontal_adapter_bert_ms,WORK_OF_ART,10,0.4789644082387288,0.4789644082387288,0.4789644181728363,0.07156424279048715,0.07156424279048715,0.07156422594414229
test_pretraining/macro_types,no_init_kenn_horizontal_adapter_bert_ms,WORK_OF_ART,10,0.8047152956326803,0.8411762515703837,0.8225124080975851,0.0054402221019655625,0.009852003197954113,0.005010771589781418
test_incremental_only/micro,no_init_kenn_horizontal_adapter_bert_ms,WORK_OF_ART,10,0.6671398679415385,0.4789644181728363,0.5509900450706482,0.09396684400893104,0.07156422594414229,0.0383869140472227
test_incremental_only/macro_types,no_init_kenn_horizontal_adapter_bert_ms,WORK_OF_ART,10,0.7409777839978536,0.5121447145938873,0.601738691329956,0.04896202023517718,0.08866790407497599,0.06409474848732377
test_incremental/micro,no_init_kenn_horizontal_adapter_bert_ms,WORK_OF_ART,10,0.7423466046651205,0.6025039156277975,0.6637364625930786,0.048210264394423843,0.03460615419252088,0.01602334805594804
test_incremental_only/macro_example,no_init_kenn_horizontal_adapter_bert_ms,WORK_OF_ART,10,0.04649701341986656,0.04649701341986656,0.04649701341986656,0.006947325473218181,0.006947325473218181,0.006947325473218181
test_incremental_WORK_OF_ART-BOOK/macro_types,no_init_kenn_horizontal_adapter_bert_ms,WORK_OF_ART,10,0.5885199209054311,0.713178296883901,0.6251251101493835,0.12728639903734204,0.1977883892132714,0.08599728171778369
test/macro_types,no_init_kenn_horizontal_adapter_bert_ms,WORK_OF_ART,10,0.8047152956326803,0.8411762515703837,0.8225124080975851,0.0054402221019655625,0.009852003197954113,0.005010771589781418
test_incremental_WORK_OF_ART-SONG/macro_types,no_init_kenn_horizontal_adapter_bert_ms,WORK_OF_ART,10,0.8934356371561686,0.31111111243565875,0.45981327692667645,0.059997929064481724,0.04194351424553625,0.04525238639102866
test_incremental_WORK_OF_ART/macro_types,no_init_kenn_horizontal_adapter_bert_ms,WORK_OF_ART,10,0.8061224222183228,0.7181817889213562,0.7596153616905212,0.0,0.0,0.0
test/micro,no_init_kenn_horizontal_adapter_bert_ms,WORK_OF_ART,10,0.7819511294364929,0.8417923847834269,0.8107486367225647,0.005732211551701464,0.0050556312773012415,0.0022028140614980688
test_pretraining/micro,no_init_kenn_horizontal_adapter_bert_ms,WORK_OF_ART,10,0.7819511294364929,0.8417923847834269,0.8107486367225647,0.005732211551701464,0.0050556312773012415,0.0022028140614980688
test_incremental/macro_types,no_init_kenn_horizontal_adapter_bert_ms,WORK_OF_ART,10,0.7626926898956299,0.5808237592379252,0.657912532488505,0.03264133590597333,0.059111936049984,0.038828356468972106
test_incremental/macro_example,no_init_kenn_horizontal_adapter_bert_ms,WORK_OF_ART,10,0.07063566396633784,0.06330505510171254,0.06669528037309647,0.0019640830563982703,0.0034736602517737337,0.0011889104671046209
test/macro_example,no_init_kenn_hybrid_adapter_bert_ms,WORK_OF_ART,10,0.8116190036137899,0.8496701121330261,0.8302063147226969,0.0006840438897448344,0.0028794128296427755,0.0010311287986974735
test_incremental/macro_example_exclusive,no_init_kenn_hybrid_adapter_bert_ms,WORK_OF_ART,10,0.6732322971026102,0.6045454541842142,0.6364139318466187,0.011472565282986243,0.03607842635465125,0.015382674196081447
test_pretraining/macro_example,no_init_kenn_hybrid_adapter_bert_ms,WORK_OF_ART,10,0.8116190036137899,0.8496701121330261,0.8302063147226969,0.0006840438897448344,0.0028794128296427755,0.0010311287986974735
test_incremental_only/macro_example_exclusive,no_init_kenn_hybrid_adapter_bert_ms,WORK_OF_ART,10,0.46440131465593976,0.4660194218158722,0.46520660320917767,0.07525579136483158,0.0770607248518055,0.07614648453563184
test_pretraining/macro_types,no_init_kenn_hybrid_adapter_bert_ms,WORK_OF_ART,10,0.8051076531410217,0.8393315672874451,0.8218325972557068,0.0028756494236498423,0.010105022295270714,0.0038180089667259817
test_incremental_only/micro,no_init_kenn_hybrid_adapter_bert_ms,WORK_OF_ART,10,0.6984361012776693,0.4660194118817647,0.5533908009529114,0.05924372649537181,0.07706071921969561,0.040792160236146104
test_incremental_only/macro_types,no_init_kenn_hybrid_adapter_bert_ms,WORK_OF_ART,10,0.744509239991506,0.49554264545440674,0.5906098087628683,0.02588100270758131,0.09094516655399314,0.06317818998666822
test_incremental/micro,no_init_kenn_hybrid_adapter_bert_ms,WORK_OF_ART,10,0.7593993544578552,0.5962441166241964,0.6668785611788431,0.029388550884300903,0.03726409805456111,0.01296589196545774
test_incremental_only/macro_example,no_init_kenn_hybrid_adapter_bert_ms,WORK_OF_ART,10,0.04508325457572937,0.04524033764998118,0.04516143103440603,0.007305697246161524,0.007480917078974755,0.007392167396716395
test_incremental_WORK_OF_ART-BOOK/macro_types,no_init_kenn_hybrid_adapter_bert_ms,WORK_OF_ART,10,0.6354999740918478,0.6744185984134674,0.6350306669871012,0.09631912331568747,0.18458728177995115,0.06429659932176765
test/macro_types,no_init_kenn_hybrid_adapter_bert_ms,WORK_OF_ART,10,0.8051076531410217,0.8393315672874451,0.8218325972557068,0.0028756494236498423,0.010105022295270714,0.0038180089667259817
test_incremental_WORK_OF_ART-SONG/macro_types,no_init_kenn_hybrid_adapter_bert_ms,WORK_OF_ART,10,0.853518525759379,0.31666667262713116,0.460094819466273,0.053749331611069866,0.0499999970197685,0.05410930495464949
test_incremental_WORK_OF_ART/macro_types,no_init_kenn_hybrid_adapter_bert_ms,WORK_OF_ART,10,0.8061224222183228,0.7181817889213562,0.7596153616905212,0.0,0.0,0.0
test/micro,no_init_kenn_hybrid_adapter_bert_ms,WORK_OF_ART,10,0.7840779821077982,0.840877890586853,0.811469833056132,0.0033051606146849294,0.0054439294939792595,0.00082422616676256
test_pretraining/micro,no_init_kenn_hybrid_adapter_bert_ms,WORK_OF_ART,10,0.7840779821077982,0.840877890586853,0.811469833056132,0.0033051606146849294,0.0054439294939792595,0.00082422616676256
test_incremental/macro_types,no_init_kenn_hybrid_adapter_bert_ms,WORK_OF_ART,10,0.7650469938913981,0.5697557131449381,0.6514198382695516,0.017253946504693328,0.06063012900844151,0.036582144948247186
test_incremental/macro_example,no_init_kenn_hybrid_adapter_bert_ms,WORK_OF_ART,10,0.0697978859146436,0.06267671659588814,0.0659807100892067,0.001189427508200312,0.003740457835473795,0.0015948172057637356
test/macro_example,no_init_kenn_top_down_adapter_bert_ms,WORK_OF_ART,10,0.8089380860328674,0.8509267965952555,0.8293992082277933,0.0024483098299729078,0.0019682623247274716,0.001528889500925006
test_incremental/macro_example_exclusive,no_init_kenn_top_down_adapter_bert_ms,WORK_OF_ART,10,0.6525252461433411,0.621212104956309,0.6364147464434305,0.021284156984637464,0.023325471753274683,0.020826209328292457
test_pretraining/macro_example,no_init_kenn_top_down_adapter_bert_ms,WORK_OF_ART,10,0.8089380860328674,0.8509267965952555,0.8293992082277933,0.0024483098299729078,0.0019682623247274716,0.001528889500925006
test_incremental_only/macro_example_exclusive,no_init_kenn_top_down_adapter_bert_ms,WORK_OF_ART,10,0.49352752168973285,0.5016181270281473,0.49745983878771466,0.06335525692307081,0.04982139919179097,0.056748264731462016
test_pretraining/macro_types,no_init_kenn_top_down_adapter_bert_ms,WORK_OF_ART,10,0.7941782474517822,0.8443129062652588,0.8184607823689779,0.01358253752908124,0.006318105445704286,0.00986053960542247
test_incremental_only/micro,no_init_kenn_top_down_adapter_bert_ms,WORK_OF_ART,10,0.5865403612454733,0.5016181071599325,0.5390250583489736,0.09011948854866157,0.04982137402548699,0.05553971942996617
test_incremental_only/macro_types,no_init_kenn_top_down_adapter_bert_ms,WORK_OF_ART,10,0.6461443702379862,0.5403746763865153,0.5873052577177683,0.12224279686623292,0.0568626869899574,0.0811407200561444
test_incremental/micro,no_init_kenn_top_down_adapter_bert_ms,WORK_OF_ART,10,0.7003756165504456,0.613458534081777,0.6535840431849161,0.04695142855395801,0.024092033235342074,0.027747867360574743
test_incremental_only/macro_example,no_init_kenn_top_down_adapter_bert_ms,WORK_OF_ART,10,0.04791077474753062,0.04869619756937027,0.048292515178521477,0.006150413324413873,0.004836568242824315,0.005509018767228904
test_incremental_WORK_OF_ART-BOOK/macro_types,no_init_kenn_top_down_adapter_bert_ms,WORK_OF_ART,10,0.5679621199766794,0.7751937905947367,0.6483957171440125,0.0982522080289764,0.10990267412130586,0.0718381820698019
test/macro_types,no_init_kenn_top_down_adapter_bert_ms,WORK_OF_ART,10,0.7941782474517822,0.8443129062652588,0.8184607823689779,0.01358253752908124,0.006318105445704286,0.00986053960542247
test_incremental_WORK_OF_ART-SONG/macro_types,no_init_kenn_top_down_adapter_bert_ms,WORK_OF_ART,10,0.7243266006310781,0.3055555621782939,0.4188034137090047,0.2730904292562131,0.04194351424553623,0.07727839111197289
test_incremental_WORK_OF_ART/macro_types,no_init_kenn_top_down_adapter_bert_ms,WORK_OF_ART,10,0.8061224222183228,0.7181817889213562,0.7596153616905212,0.0,0.0,0.0
test/micro,no_init_kenn_top_down_adapter_bert_ms,WORK_OF_ART,10,0.7768201430638632,0.8433927496274313,0.8087309797604879,0.005856257287741777,0.0035196148016282975,0.003917032234773296
test_pretraining/micro,no_init_kenn_top_down_adapter_bert_ms,WORK_OF_ART,10,0.7768201430638632,0.8433927496274313,0.8087309797604879,0.005856257287741777,0.0035196148016282975,0.003917032234773296
test_incremental/macro_types,no_init_kenn_top_down_adapter_bert_ms,WORK_OF_ART,10,0.6994703809420267,0.5996437470118204,0.6451898217201233,0.08149518427900272,0.037908472529347106,0.054544849436951745
test_incremental/macro_example,no_init_kenn_top_down_adapter_bert_ms,WORK_OF_ART,10,0.06765106072028478,0.06440465028087299,0.06598078956206639,0.002206655376754214,0.002418287993149862,0.0021591730723285966
test/macro_example,smart_init_box_adapter_bert_ms,WORK_OF_ART,10,0.8169546524683634,0.8439627091089884,0.8302163481712341,0.005782810647006138,0.005487486873449707,0.0018623999825300836
test_incremental/macro_example_exclusive,smart_init_box_adapter_bert_ms,WORK_OF_ART,10,0.584343413511912,0.5954545140266418,0.5841038425763448,0.08055039193448882,0.0678781026147942,0.016597100665233237
test_pretraining/macro_example,smart_init_box_adapter_bert_ms,WORK_OF_ART,10,0.8169546524683634,0.8439627091089884,0.8302163481712341,0.005782810647006138,0.005487486873449707,0.0018623999825300836
test_incremental_only/macro_example_exclusive,smart_init_box_adapter_bert_ms,WORK_OF_ART,10,0.2815533975760142,0.44660194714864093,0.3397284547487895,0.07183810557739272,0.14498235378199686,0.08350895487072525
test_pretraining/macro_types,smart_init_box_adapter_bert_ms,WORK_OF_ART,10,0.7952126463254293,0.8287744720776876,0.8114182353019714,0.01831960826479336,0.018072526428358705,0.007074204743716398
test_incremental_only/micro,smart_init_box_adapter_bert_ms,WORK_OF_ART,10,0.498793363571167,0.446601927280426,0.4453924298286438,0.17477800404726543,0.14498237074554132,0.05388976886214048
test_incremental_only/macro_types,smart_init_box_adapter_bert_ms,WORK_OF_ART,10,0.4909753402074178,0.46899224321047467,0.4501541455586751,0.16487671699074036,0.162652677170167,0.04937538080293175
test_incremental/micro,smart_init_box_adapter_bert_ms,WORK_OF_ART,10,0.6382665435473124,0.5868544578552246,0.6042340795199076,0.11042717315170045,0.07010886459743675,0.029406390800428027
test_incremental_only/macro_example,smart_init_box_adapter_bert_ms,WORK_OF_ART,10,0.02733270327250163,0.04335532461603483,0.03298023467262586,0.006973915332573295,0.014074632796009373,0.008106904035338916
test_incremental_WORK_OF_ART-BOOK/macro_types,smart_init_box_adapter_bert_ms,WORK_OF_ART,10,0.5525560975074768,0.604651153087616,0.5341074466705322,0.06633143308253062,0.3128749697509074,0.15027137332807006
test/macro_types,smart_init_box_adapter_bert_ms,WORK_OF_ART,10,0.7952126463254293,0.8287744720776876,0.8114182353019714,0.01831960826479336,0.018072526428358705,0.007074204743716398
test_incremental_WORK_OF_ART-SONG/macro_types,smart_init_box_adapter_bert_ms,WORK_OF_ART,10,0.42939456800619763,0.3333333383003871,0.3614241083463033,0.28709204341413114,0.14529663133740378,0.1717386056022635
test_incremental_WORK_OF_ART/macro_types,smart_init_box_adapter_bert_ms,WORK_OF_ART,10,0.7979797720909119,0.7181817889213562,0.7559808492660522,0.0,0.0,0.0
test/micro,smart_init_box_adapter_bert_ms,WORK_OF_ART,10,0.7761327624320984,0.8312757015228271,0.8026122649510702,0.017273949589937772,0.010242232937034629,0.005898704315836186
test_pretraining/micro,smart_init_box_adapter_bert_ms,WORK_OF_ART,10,0.7761327624320984,0.8312757015228271,0.8026122649510702,0.017273949589937772,0.010242232937034629,0.005898704315836186
test_incremental/macro_types,smart_init_box_adapter_bert_ms,WORK_OF_ART,10,0.5933101574579874,0.5520554681619009,0.5606392025947571,0.10991777225971665,0.10843513328765055,0.03733747518298182
test_incremental/macro_example,smart_init_box_adapter_bert_ms,WORK_OF_ART,10,0.060582260290781655,0.06173421069979668,0.06055742005507151,0.008351125354547172,0.007037319952865421,0.0017207174896735169
test/macro_example,smart_init_classifier_adapter_bert_ms,WORK_OF_ART,10,0.8045763969421387,0.8488847017288208,0.8260875344276428,0.004942674412773528,0.010893369568934339,0.0026652737518778856
test_incremental/macro_example_exclusive,smart_init_classifier_adapter_bert_ms,WORK_OF_ART,10,0.5813130935033163,0.5954545140266418,0.5751543243726095,0.07925752885051045,0.13391742876202611,0.0370067038521041
test_pretraining/macro_example,smart_init_classifier_adapter_bert_ms,WORK_OF_ART,10,0.8045763969421387,0.8488847017288208,0.8260875344276428,0.004942674412773528,0.010893369568934339,0.0026652737518778856
test_incremental_only/macro_example_exclusive,smart_init_classifier_adapter_bert_ms,WORK_OF_ART,10,0.26051781078179675,0.4466019496321678,0.32893119504054386,0.1681836323199907,0.28603728458512884,0.2114727573749988
test_pretraining/macro_types,smart_init_classifier_adapter_bert_ms,WORK_OF_ART,10,0.7682125369707743,0.8376017411549886,0.8011141220728556,0.003976857665762419,0.03530710569808921,0.014605645708916886
test_incremental_only/micro,smart_init_classifier_adapter_bert_ms,WORK_OF_ART,10,0.4150962829589844,0.4466019496321678,0.3804071843624115,0.04422133518018559,0.28603728458512884,0.16913991533680184
test_incremental_only/macro_types,smart_init_classifier_adapter_bert_ms,WORK_OF_ART,10,0.41245298584302265,0.479974165558815,0.38998159766197205,0.03579174778200701,0.31776382853175705,0.18191931130705818
test_incremental/micro,smart_init_classifier_adapter_bert_ms,WORK_OF_ART,10,0.6103180249532064,0.5868544578552246,0.5812246600786845,0.10797138613893749,0.13831848350242715,0.037196255436167024
test_incremental_only/macro_example,smart_init_classifier_adapter_bert_ms,WORK_OF_ART,10,0.025290606232980888,0.04335532399515311,0.03193205346663793,0.016326968112285626,0.027767992106959922,0.020529397826183963
test_incremental_WORK_OF_ART-BOOK/macro_types,smart_init_classifier_adapter_bert_ms,WORK_OF_ART,10,0.4758698145548503,0.6821705351273218,0.5085225403308868,0.0981256671759498,0.5102165107559746,0.3122975303296285
test/macro_types,smart_init_classifier_adapter_bert_ms,WORK_OF_ART,10,0.7682125369707743,0.8376017411549886,0.8011141220728556,0.003976857665762419,0.03530710569808921,0.014605645708916886
test_incremental_WORK_OF_ART-SONG/macro_types,smart_init_classifier_adapter_bert_ms,WORK_OF_ART,10,0.3490361620982488,0.2777777860562007,0.26858072976271313,0.1610601440746006,0.1261979642458529,0.0519905342343602
test_incremental_WORK_OF_ART/macro_types,smart_init_classifier_adapter_bert_ms,WORK_OF_ART,10,0.8061224222183228,0.7181817889213562,0.7596153616905212,0.0,0.0,0.0
test/micro,smart_init_classifier_adapter_bert_ms,WORK_OF_ART,10,0.7608699798583984,0.839506189028422,0.7979345321655273,0.019288655050287953,0.020207045479820322,0.0022109119672531867
test_pretraining/micro,smart_init_classifier_adapter_bert_ms,WORK_OF_ART,10,0.7608699798583984,0.839506189028422,0.7979345321655273,0.019288655050287953,0.020207045479820322,0.0022109119672531867
test_incremental/macro_types,smart_init_classifier_adapter_bert_ms,WORK_OF_ART,10,0.5436761379241943,0.5593767066796621,0.5332543750603994,0.023861175188762768,0.21184255287554765,0.11143453528036477
